tick,true_log_vol,true_vol,true_hypo,return,is_outlier,outlier_sigma,est_log_vol,est_vol,vol_std,est_hypo,weight_calm,weight_trend,weight_crisis,ess,min_weight,outlier_frac,learned_mu,learned_sigma,latency_us
2333,-2.610133,0.073525,1,-0.00363430,0,0.0,-3.009439,0.051540,0.281921,0,0.6546,0.2929,0.0525,384.91,0.0000,0.0462,-4.0009,0.0647,90.70
2334,-2.449207,0.086362,1,-0.03656785,0,0.0,-3.044481,0.049543,0.270042,0,0.6687,0.2790,0.0524,376.33,0.0000,0.0082,-4.0009,0.0647,77.90
2335,-2.780923,0.061981,1,0.06055656,0,0.0,-3.006742,0.051375,0.264313,0,0.6695,0.2732,0.0573,370.55,0.0000,0.0086,-4.0009,0.0647,47.30
2336,-3.287376,0.037352,1,0.07746046,0,0.0,-2.923861,0.055990,0.271989,0,0.6274,0.2942,0.0784,366.05,0.0000,0.0106,-4.9941,0.0569,38.90
2337,-3.170067,0.042001,1,-0.00649843,0,0.0,-2.999681,0.051788,0.266079,0,0.6714,0.2754,0.0532,358.58,0.0000,0.0295,-4.0009,0.0647,39.00
2338,-2.819222,0.059652,1,0.09807920,0,0.0,-2.844220,0.061051,0.290048,1,0.5940,0.3024,0.1036,354.81,0.0000,0.0158,-2.9070,0.1228,39.80
2339,-3.076461,0.046122,1,0.04445863,0,0.0,-2.886971,0.058267,0.278383,0,0.6354,0.2915,0.0730,349.86,0.0000,0.0083,-4.9941,0.0569,39.10
2340,-2.906841,0.054648,1,0.06219015,0,0.0,-2.880413,0.058576,0.274777,0,0.6440,0.2784,0.0776,343.91,0.0000,0.0083,-4.0009,0.0647,39.00
2341,-3.184991,0.041379,1,-0.02108538,0,0.0,-2.949509,0.054393,0.261427,0,0.6775,0.2702,0.0523,335.68,0.0000,0.0120,-4.9941,0.0569,61.30
2342,-3.229577,0.039574,1,0.07389959,0,0.0,-2.898186,0.057282,0.261936,0,0.6643,0.2707,0.0649,332.19,0.0000,0.0093,-5.0042,0.0564,38.90
2343,-3.497411,0.030276,1,0.04646548,0,0.0,-2.926094,0.055580,0.255216,0,0.6804,0.2707,0.0489,324.80,0.0000,0.0078,-5.0042,0.0564,39.70
2344,-3.411589,0.032989,1,-0.02001550,0,0.0,-2.987535,0.052168,0.251556,0,0.7063,0.2456,0.0481,316.54,0.0000,0.0118,-5.0042,0.0564,39.00
2345,-3.189909,0.041176,1,0.01626999,0,0.0,-3.049699,0.048958,0.249346,0,0.7269,0.2383,0.0348,309.74,0.0000,0.0129,-5.0042,0.0564,39.10
2346,-3.090596,0.045475,1,0.03176159,0,0.0,-3.086873,0.047097,0.244610,0,0.7477,0.2254,0.0270,304.47,0.0000,0.0080,-5.0042,0.0564,39.00
2347,-3.290784,0.037225,1,0.08967936,0,0.0,-2.952529,0.053961,0.245414,0,0.6865,0.2663,0.0472,307.40,0.0000,0.0147,-5.0042,0.0564,39.00
2348,-3.384057,0.033910,1,0.00402330,0,0.0,-3.017277,0.050573,0.246694,0,0.7116,0.2430,0.0455,301.25,0.0000,0.0403,-5.0042,0.0564,88.90
2349,-3.292603,0.037157,1,-0.00983188,0,0.0,-3.081873,0.047352,0.244737,0,0.7389,0.2338,0.0273,295.55,0.0000,0.0185,-5.0042,0.0564,39.00
2350,-3.326042,0.035935,1,-0.02481658,0,0.0,-3.126730,0.045256,0.244878,0,0.7270,0.2432,0.0298,290.96,0.0000,0.0089,-5.0042,0.0564,39.10
2351,-3.249924,0.038777,1,-0.03365995,0,0.0,-3.150542,0.044181,0.244125,0,0.7326,0.2363,0.0311,286.97,0.0000,0.0076,-5.0042,0.0564,39.20
2352,-3.280949,0.037593,1,0.02729905,0,0.0,-3.187066,0.042616,0.245950,0,0.7494,0.2224,0.0282,282.36,0.0000,0.0081,-5.0042,0.0564,38.90
2353,-3.561309,0.028402,1,-0.03235397,0,0.0,-3.210656,0.041605,0.244306,0,0.7494,0.2278,0.0228,278.16,0.0000,0.0074,-5.0042,0.0564,39.10
2354,-3.424188,0.032576,1,-0.02845812,0,0.0,-3.241442,0.040351,0.244965,0,0.7518,0.2268,0.0214,273.52,0.0000,0.0077,-5.0042,0.0564,39.10
2355,-3.777415,0.022882,1,0.00429114,0,0.0,-3.303598,0.037986,0.252384,0,0.7580,0.2157,0.0263,268.37,0.0000,0.0296,-5.0042,0.0564,60.80
2356,-3.621770,0.026735,1,-0.01822586,0,0.0,-3.350453,0.036266,0.254829,0,0.7430,0.2327,0.0243,263.60,0.0000,0.0094,-5.0042,0.0564,39.40
2357,-3.420566,0.032694,1,0.00497423,0,0.0,-3.414509,0.034070,0.261668,0,0.7605,0.2162,0.0233,259.32,0.0000,0.0242,-5.0042,0.0564,39.10
2358,-3.321757,0.036089,1,-0.02613020,0,0.0,-3.429961,0.033534,0.259272,0,0.7561,0.2110,0.0329,255.45,0.0000,0.0076,-5.0042,0.0564,58.00
2359,-2.966544,0.051481,1,0.09150809,0,0.0,-3.080662,0.048525,0.315381,0,0.5300,0.2759,0.1941,360.61,0.0000,0.0379,-5.0042,0.0564,38.20
2360,-3.008182,0.049381,1,-0.01054444,0,0.0,-3.163535,0.044777,0.317087,0,0.5962,0.2723,0.1315,461.12,0.0000,0.0191,-5.0042,0.0564,65.80
2361,-2.686310,0.068132,1,-0.11640020,0,0.0,-2.699836,0.073914,0.420042,2,0.3147,0.2631,0.4223,142.86,0.0000,0.0451,-1.8931,0.5784,58.30
2362,-2.632462,0.071901,1,-0.04450587,0,0.0,-2.769762,0.069315,0.423200,2,0.3720,0.2944,0.3336,493.42,0.0000,0.0114,-1.8931,0.5784,40.00
2363,-2.577074,0.075996,1,0.00012095,0,0.0,-2.889421,0.061585,0.416728,1,0.4137,0.3355,0.2508,444.05,0.0000,0.3698,-3.0063,0.1185,71.60
2364,-2.756622,0.063506,1,0.01745790,0,0.0,-3.014367,0.053118,0.365973,1,0.5127,0.3288,0.1586,375.75,0.0000,0.0156,-3.0063,0.1185,61.90
2365,-2.729791,0.065233,1,-0.01290716,0,0.0,-3.117077,0.047113,0.327457,1,0.5724,0.3262,0.1013,326.95,0.0000,0.0170,-3.0063,0.1185,39.80
2366,-2.649960,0.070654,1,0.05549282,0,0.0,-3.068079,0.049217,0.313950,1,0.5731,0.3174,0.1095,326.73,0.0000,0.0093,-3.0578,0.1030,40.70
2367,-2.988827,0.050346,1,-0.01152060,0,0.0,-3.151777,0.044917,0.294706,0,0.6204,0.3116,0.0680,295.75,0.0000,0.0171,-5.0042,0.0564,39.80
2368,-2.583520,0.075508,1,-0.07776386,0,0.0,-2.998564,0.052671,0.309608,1,0.5618,0.3154,0.1228,322.12,0.0000,0.0136,-3.0578,0.1030,41.50
2369,-2.263764,0.103958,1,0.09342815,0,0.0,-2.814519,0.064333,0.351879,1,0.4525,0.3408,0.2067,333.60,0.0000,0.0155,-3.0578,0.1030,61.80
2370,-1.910408,0.148020,1,-0.11514739,0,0.0,-2.560654,0.084535,0.405131,2,0.3044,0.3271,0.3684,265.14,0.0000,0.0179,-1.8931,0.5784,39.50
2371,-2.122525,0.119729,1,0.15791820,0,0.0,-2.170725,0.124389,0.412915,2,0.1286,0.1934,0.6780,129.83,0.0000,0.0246,-1.6358,0.2740,57.00
2372,-2.237614,0.106713,1,0.05825908,0,0.0,-2.277681,0.113442,0.440170,2,0.1780,0.2506,0.5714,492.50,0.0000,0.0146,-1.6358,0.2740,66.20
2373,-2.190787,0.111829,1,0.13443425,0,0.0,-2.118163,0.131375,0.415531,2,0.1430,0.2172,0.6398,504.26,0.0000,0.0142,-1.6358,0.2740,63.70
2374,-1.796794,0.165830,1,-0.02294493,0,0.0,-2.280391,0.112985,0.433858,2,0.2033,0.2754,0.5212,481.16,0.0000,0.0282,-1.6358,0.2740,41.10
2375,-1.953440,0.141785,1,0.08507177,0,0.0,-2.301994,0.109739,0.415933,2,0.2279,0.2987,0.4734,460.94,0.0000,0.0119,-1.6358,0.2740,40.90
2376,-1.919409,0.146694,1,0.09689011,0,0.0,-2.288337,0.110655,0.403485,2,0.2357,0.3202,0.4441,451.82,0.0000,0.0117,-1.6358,0.2740,41.50
2377,-2.171644,0.113990,1,-0.05035143,0,0.0,-2.396823,0.099002,0.392612,1,0.3032,0.3489,0.3479,393.89,0.0000,0.0132,-3.0041,0.1122,83.40
2378,-2.127624,0.119120,1,0.04874768,0,0.0,-2.492565,0.089308,0.373199,1,0.3752,0.3503,0.2745,337.90,0.0000,0.0120,-3.0041,0.1122,174.70
2379,-2.115946,0.120519,1,-0.13747815,0,0.0,-2.306830,0.107416,0.374663,2,0.3144,0.3197,0.3658,405.12,0.0000,0.0150,-1.6358,0.2740,52.30
2380,-1.995185,0.135988,1,0.02756604,0,0.0,-2.435273,0.094309,0.365958,1,0.3833,0.3380,0.2787,342.09,0.0000,0.0187,-3.0041,0.1122,40.50
2381,-2.202140,0.110566,1,0.08314347,0,0.0,-2.447270,0.092657,0.351675,1,0.4141,0.3326,0.2533,324.18,0.0000,0.0100,-3.0157,0.1020,63.40
2382,-2.294697,0.100792,1,-0.14275197,0,0.0,-2.283524,0.109379,0.360619,2,0.3546,0.3056,0.3398,374.80,0.0000,0.0144,-1.6358,0.2740,40.50
2383,-2.042177,0.129746,1,0.17722521,0,0.0,-2.072749,0.135261,0.370628,2,0.2707,0.2422,0.4871,405.08,0.0000,0.0163,-1.6358,0.2740,40.30
2384,-2.234667,0.107028,1,-0.10707276,0,0.0,-2.105686,0.131143,0.372943,2,0.2994,0.2621,0.4385,401.16,0.0000,0.0110,-1.6358,0.2740,40.10
2385,-2.392350,0.091415,1,0.02475159,0,0.0,-2.245538,0.113930,0.365744,2,0.3748,0.2938,0.3313,378.18,0.0000,0.0239,-1.6358,0.2740,61.90
2386,-2.311199,0.099142,1,0.12602209,0,0.0,-2.198176,0.118992,0.357434,2,0.3664,0.2747,0.3589,377.92,0.0000,0.0110,-1.6358,0.2740,40.80
2387,-2.085203,0.124282,1,0.06713397,0,0.0,-2.280602,0.109153,0.345660,1,0.4087,0.3055,0.2858,350.96,0.0000,0.0110,-2.9941,0.1076,42.50
2388,-2.207596,0.109965,1,0.11600458,0,0.0,-2.256010,0.111571,0.338961,1,0.4110,0.3051,0.2840,346.26,0.0000,0.0103,-2.9941,0.1076,40.40
