tick,true_log_vol,true_vol,true_hypo,return,is_outlier,outlier_sigma,est_log_vol,est_vol,vol_std,est_hypo,weight_calm,weight_trend,weight_crisis,ess,min_weight,outlier_frac,learned_mu,learned_sigma,latency_us
3912,-1.912673,0.147685,2,0.04203074,0,0.0,-2.682261,0.080328,0.045121,2,0.3087,0.3428,0.3485,499.09,0.3087,0.0191,-2.3664,0.3798,165.50
3913,-1.553135,0.211584,2,0.29005653,0,0.0,-1.946639,0.164704,0.087727,2,0.2876,0.3522,0.3603,401.45,0.2876,0.1041,-2.4297,0.3818,220.90
3914,-0.612105,0.542208,2,0.42624819,0,0.0,-1.388695,0.277213,0.127931,1,0.3385,0.3414,0.3202,454.61,0.3202,0.0576,-4.0000,0.3500,196.00
3915,-1.329475,0.264616,2,0.51532160,0,0.0,-1.034837,0.387624,0.162255,0,0.3867,0.3355,0.2778,500.93,0.2778,0.0317,-4.5000,0.1500,177.00
3916,-2.122324,0.119753,2,0.00398072,0,0.0,-1.338759,0.309000,0.179864,2,0.2368,0.3418,0.4214,472.94,0.2368,0.2153,-2.5843,0.3850,196.20
3917,-2.505809,0.081610,2,-0.05544872,0,0.0,-1.746653,0.214572,0.139272,2,0.2468,0.3322,0.4211,477.77,0.2468,0.0302,-2.6259,0.3865,221.90
3918,-2.644640,0.071031,2,0.07534034,0,0.0,-2.005728,0.162400,0.099113,2,0.2680,0.3334,0.3986,498.79,0.2680,0.0211,-2.6633,0.3841,168.20
3919,-2.385851,0.092011,2,0.03093999,0,0.0,-2.402502,0.112139,0.072746,2,0.2769,0.3262,0.3968,472.02,0.2769,0.0284,-2.6969,0.3841,165.50
3920,-2.326841,0.097604,2,-0.04911907,0,0.0,-2.584191,0.089924,0.052576,2,0.2945,0.3337,0.3718,502.03,0.2945,0.0194,-2.7272,0.3841,165.80
3921,-1.159803,0.313548,2,-0.17109282,0,0.0,-2.087564,0.139060,0.066451,1,0.3207,0.3530,0.3262,482.68,0.3207,0.0350,-4.0000,0.3500,165.70
3922,-0.670842,0.511278,2,0.01594268,0,0.0,-2.427214,0.106279,0.064708,2,0.3014,0.3424,0.3562,469.98,0.3014,0.0435,-2.7791,0.3793,166.10
3923,-0.367935,0.692162,2,0.22930451,0,0.0,-1.857354,0.175194,0.084713,1,0.3281,0.3531,0.3189,465.80,0.3189,0.0422,-4.0000,0.3500,166.90
3924,0.720881,2.056244,2,2.75264140,0,0.0,-1.575321,0.261003,0.182131,2,0.1120,0.2921,0.5959,303.00,0.1120,0.9771,-2.8210,0.3767,159.80
3925,0.386497,1.471816,2,0.74492773,0,0.0,-0.865567,0.488205,0.269661,2,0.1883,0.3350,0.4768,421.87,0.1883,0.0801,-2.8389,0.3769,168.80
3926,0.812853,2.254330,2,-3.70082595,0,0.0,-0.370635,0.918172,0.753653,2,0.1515,0.3016,0.5469,333.36,0.1515,0.6238,-2.8550,0.3776,206.40
3927,0.986622,2.682160,2,-2.42798172,0,0.0,0.369597,1.728108,1.013288,1,0.3238,0.3720,0.3042,421.43,0.3042,0.0845,-2.5000,0.3500,181.20
3928,1.034409,2.813444,2,-0.04466792,0,0.0,-0.219828,1.073581,0.873836,2,0.2143,0.3355,0.4502,462.54,0.2143,0.1051,-2.6427,0.3811,166.20
3929,0.383842,1.467914,2,-1.10153950,0,0.0,0.046174,1.215162,0.675238,1,0.2852,0.3789,0.3359,483.48,0.2852,0.0258,-2.5000,0.3500,165.60
3930,0.468162,1.597057,2,-3.53544738,0,0.0,0.612596,2.120443,1.095110,1,0.3748,0.3783,0.2469,465.77,0.2469,0.0906,-2.5000,0.3500,165.10
3931,-0.066625,0.935546,2,-0.47685383,0,0.0,0.185613,1.462386,0.942782,1,0.2929,0.3578,0.3493,499.37,0.2929,0.0242,-2.5000,0.3500,165.70
3932,0.200597,1.222132,2,2.04118626,0,0.0,0.498150,1.871853,0.956583,0,0.3819,0.3736,0.2445,490.26,0.2445,0.0293,-4.5000,0.1500,278.00
3933,-0.470423,0.624738,2,0.29620819,0,0.0,0.041881,1.263880,0.807376,1,0.3029,0.3501,0.3470,500.92,0.3029,0.0303,-4.0000,0.3423,207.90
